C	0.674757282	P	[	101.4633553	29.97477517	1.08062238	40	]
C	1.030612245	P	[	95.57240266	34.86885293	1.05912032	38	]
C	0.266990291	P	[	99.90413302	29.9664947	1.03815604	40	]
C	0.266990291	P	[	100.3058454	29.69802418	1.04748421	40	]
C	0.231884058	P	[	99.54346066	29.77057886	1.03468267	40	]
C	0.485148515	P	[	99.4432357	31.13245554	1.04078465	39	]
C	0.545023697	P	[	101.2783776	28.659933	1.03867869	41	]
C	0.257281553	P	[	100.2985875	30.01746274	1.05768991	40	]
C	0.814814815	P	[	103.4216494	26.59880825	1.03967272	42	]
C	0.44278607	P	[	99.67476479	30.21882577	1.04030663	39	]
C	0.373134328	P	[	98.78417315	31.49174112	1.05414291	39	]
C	0.589371981	P	[	98.65718589	30.37898967	1.05143283	40	]
C	0.431279621	P	[	100.7166235	29.55875526	1.05314919	41	]
C	0.75462963	P	[	102.4413896	26.84203646	1.04115214	42	]
C	0.791469194	P	[	101.478302	31.15876334	1.08672015	41	]
C	0.854368932	P	[	97.41904101	29.31495303	0.99865987	40	]
C	0.330097087	P	[	100.8449596	29.80649578	1.04899833	40	]
C	0.746268657	P	[	98.28956534	29.77110645	1.0030897	39	]
C	0.671641791	P	[	101.006483	30.08322339	1.0551994	39	]
C	0.834951456	P	[	102.4642624	31.10664881	1.09567503	40	]
C	0.346534653	P	[	98.66210922	31.31599423	1.04313602	39	]
C	0.379146919	P	[	100.2524059	29.49213547	1.05406118	41	]
C	0.75462963	P	[	102.4072957	27.04406055	1.04573418	42	]
C	0.81042654	P	[	102.265353	30.20734643	1.08862106	41	]
C	0.495145631	P	[	100.9362269	29.76900842	1.06691229	40	]
C	0.246376812	P	[	99.93838186	29.9426693	1.04019196	40	]
C	0.592039801	P	[	98.09956343	32.06364485	1.05925947	39	]
C	0.357487923	P	[	100.0136935	29.51658031	1.04471365	40	]
C	0.567961165	P	[	101.7326942	29.851709	1.06670556	40	]
C	0.752475248	P	[	98.28055784	31.31773949	1.02354211	39	]
C	0.586734694	P	[	97.70246203	32.82939328	1.04705808	38	]
C	0.417475728	P	[	100.5183347	29.1833382	1.04112815	40	]
C	0.611650485	P	[	98.41592261	30.86322173	1.03696089	40	]
C	0.373786408	P	[	99.07177717	29.71265688	1.02811585	40	]
C	0.5	P	[	99.74600234	30.26449086	1.03351332	40	]
C	0.975728155	P	[	99.55670031	27.6434533	0.99867837	40	]
								
Pop	2000	-	Iter	5				
Mean	0.520319152							
C	0.836734694	P	[	97.00262722	33.75558695	1.05382474	38	]
C	0.310679612	P	[	100.7118185	29.7881	1.0550056	40	]
C	0.958115183	P	[	94.14875457	34.31916246	1.01320613	37	]
C	1.014925373	P	[	97.35722747	31.06187018	1.04783615	39	]
C	0.29468599	P	[	99.33841755	30.3131919	1.04698422	40	]
C	0.407582938	P	[	99.62025805	29.15715422	1.04276747	41	]
C	0.45631068	P	[	100.5236946	29.20536934	1.03383358	40	]
C	0.38647343	P	[	100.0501438	29.35764384	1.03739373	40	]
C	0.315533981	P	[	99.21541872	30.41988178	1.04431524	40	]
C	0.38647343	P	[	99.19162542	29.95335079	1.03016563	40	]
C	0.786407767	P	[	102.664932	29.78801223	1.08114733	40	]
C	0.371980676	P	[	100.8094585	30.02733905	1.0499291	40	]
C	0.485436893	P	[	99.69506619	28.91314903	1.02494565	40	]
C	0.32038835	P	[	99.49887877	29.57965485	1.03925664	40	]
C	0.334951456	P	[	99.16693567	29.90950071	1.03326987	40	]
C	0.795918367	P	[	102.1297981	32.24874512	1.08906166	38	]
C	0.115942029	P	[	100.0162905	30.16282348	1.04762515	40	]
C	0.429245283	P	[	101.3344795	28.42593935	1.04122072	41	]
C	0.45971564	P	[	99.33063538	29.0168655	1.03990429	41	]
C	0.27184466	P	[	99.63457716	30.18141083	1.04155737	40	]
C	0.417475728	P	[	101.0297353	29.70583992	1.04669144	40	]
C	0.398058252	P	[	100.3279106	30.62562453	1.0546061	40	]
C	0.651741294	P	[	98.52448579	30.37170324	1.01598908	39	]
C	0.299516908	P	[	100.2330614	29.99874199	1.04153218	40	]
C	0.422885572	P	[	100.0653082	30.23093937	1.05099871	39	]
C	0.940298507	P	[	100.6954665	32.84298071	1.08382389	39	]
C	0.39800995	P	[	99.16665119	30.65371517	1.04111757	39	]
C	0.447761194	P	[	98.39016956	30.85695497	1.03581284	39	]
C	0.587378641	P	[	101.301935	29.67115701	1.06709711	40	]
C	0.533980583	P	[	99.82154064	30.24807416	1.06332534	40	]
C	0.572815534	P	[	100.8496685	28.89949912	1.04057414	40	]
C	0.242718447	P	[	99.5060168	29.84413943	1.03557074	40	]
C	0.393034826	P	[	99.2150973	30.79902202	1.04814317	39	]
C	1.545918367	P	[	105.5944087	33.74072582	1.16552356	38	]
C	0.437810945	P	[	99.40661163	30.35598534	1.03864405	39	]
C	0.237864078	P	[	100.6480292	30.086621	1.05597159	40	]
C	0.777251185	P	[	99.22669739	28.12133734	1.00807349	41	]
C	0.805825243	P	[	97.58181799	28.89994816	1.01147144	40	]
C	0.512437811	P	[	98.33053457	31.5376411	1.03795563	39	]
C	0.199029126	P	[	99.66376147	29.73815463	1.03907878	40	]
